id,mailto_wave2
2,False
3,True
5,False
7,False
9,False
12,False
13,True
15,False
17,False
19,False
20,True
29,False
34,True
35,False
36,False
38,False
41,False
42,False
43,False
45,False
46,False
47,False
49,False
50,False
55,True
62,True
70,False
72,True
74,False
75,False
80,False
88,False
97,False
98,False
100,True
101,True
108,False
109,False
112,False
115,True
116,False
123,False
125,False
129,False
131,False
132,False
137,True
139,True
140,True
142,True
148,False
149,True
150,False
154,False
155,True
156,False
160,False
164,False
168,False
173,False
176,False
179,True
181,False
182,True
187,False
198,False
199,True
200,False
201,False
206,False
207,False
211,False
218,False
228,False
233,False
239,False
240,False
242,True
247,True
248,False
249,True
256,True
257,True
260,False
261,True
265,False
267,False
270,False
272,False
274,True
276,True
281,True
288,True
293,False
297,False
298,False
304,False
305,False
306,False
307,True
309,True
316,True
318,False
319,True
320,False
323,False
324,False
328,True
331,False
333,False
336,False
338,True
339,True
342,False
348,False
351,False
353,False
355,True
357,True
360,True
362,False
367,False
370,False
383,False
389,False
390,False
392,False
393,False
401,False
407,False
408,False
411,False
412,True
415,True
416,False
417,False
422,False
428,False
430,True
431,False
434,False
437,False
441,False
444,False
447,False
455,True
456,True
458,False
460,False
462,False
465,True
468,True
473,False
476,True
486,False
488,False
494,False
500,True
505,False
507,True
511,True
512,False
515,False
520,False
523,False
526,False
528,False
533,False
539,False
540,False
541,False
543,True
545,False
546,False
549,False
566,False
568,True
570,True
573,False
575,False
576,False
583,False
585,False
587,False
588,False
589,False
590,False
592,False
594,False
602,False
607,False
609,False
618,False
619,False
635,False
636,False
642,False
645,False
648,False
650,False
651,True
656,True
657,False
658,False
660,True
685,True
690,True
691,False
692,False
694,False
696,False
699,False
701,True
705,False
706,False
707,False
708,False
709,False
712,False
718,True
721,False
722,False
727,False
736,False
744,False
748,True
752,False
761,False
763,False
765,True
771,False
772,False
775,True
776,True
783,False
786,False
788,True
789,False
790,True
791,False
794,False
796,False
800,False
804,False
806,True
809,False
810,False
817,False
821,False
834,False
842,False
847,False
849,False
853,False
854,False
855,False
857,False
859,False
869,False
872,False
873,False
884,False
889,False
897,True
898,True
899,False
910,True
911,True
914,False
915,False
918,False
919,True
923,False
925,False
934,False
936,False
937,False
942,False
945,True
946,True
947,False
952,False
953,False
955,True
957,False
960,False
963,False
965,False
967,False
969,True
970,False
971,False
974,False
975,True
977,False
978,True
980,False
984,False
985,False
990,True
992,False
995,False
1007,True
1018,False
1019,False
1021,False
1024,False
1026,False
1029,False
1036,False
1037,True
1047,False
1048,False
1058,True
1059,False
1063,True
1065,False
1067,False
1073,False
1078,True
1082,False
1083,True
1092,False
1098,True
1099,True
1106,False
1108,False
1109,False
1114,True
1115,False
1122,False
1124,False
1125,False
1126,False
1137,False
1138,False
1139,False
1140,True
1145,False
1150,False
1151,False
1155,True
1157,False
1158,False
1164,False
1168,True
1169,False
1173,False
1174,True
1175,False
1176,False
1190,False
1195,True
1198,True
1200,False
1201,False
1213,True
1214,False
1217,False
1218,False
1219,False
1223,False
1226,False
1231,False
1232,False
1234,False
1239,False
1243,False
1244,False
1248,False
1249,True
1252,False
1253,False
1255,False
1272,False
1274,False
1275,False
1276,False
1278,True
1282,False
1287,False
1293,False
1295,True
1299,False
1303,False
1307,False
1311,True
1318,False
1319,False
1320,False
1330,False
1331,True
1332,False
1334,False
1336,True
